-5.941340446472167969e+00;5.002114176750183105e-01
-6.349395275115966797e+00;-2.936043441295623779e-01
-6.212793827056884766e+00;-8.388722538948059082e-01
-4.993826866149902344e+00;-5.255778431892395020e-01
-3.322271108627319336e+00;-8.847309276461601257e-03
-6.030707359313964844e+00;-1.689478993415832520e+00
-3.890948534011840820e+00;-1.164772510528564453e+00
-4.291273117065429688e+00;-4.974634051322937012e-01
-7.148859500885009766e+00;-1.076161503791809082e+00
-4.827751636505126953e+00;-2.517115116119384766e+00
-4.062336444854736328e+00;-1.498421311378479004e+00
-4.318671226501464844e+00;-1.313349127769470215e+00
-4.933676242828369141e+00;-2.524133920669555664e-01
-3.184927225112915039e+00;-2.793853282928466797e-01
-4.914285659790039062e+00;1.166560202836990356e-01
